id,screen_name,name,created_at,full_text,heure,longueur_texte,nombre_mots_cle,Catégorie,Inconfort,Urgence,Sentiment
1,gptournier,Guillaume Tournier,2023-11-16 15:13:18+00:00,"@ENGIEpartFR \n6 mois d’attente et tjs aucune réponse de l’agence engie home service grand marseille à Aubagne sur un devis, malgré des multiples relances. Je reste coincé à appeler la plate-forme tél et à entendre qu’on me rappelle\nPour le numéro 1 du service client c’est dommage",15:13:18,282,2,Service client injoignable,90.0,False,Négatif
2,jouanetwan,Jouan Etwan 💚💛,2023-11-26 07:34:34+00:00,"Bonjour @ENGIEpartSAV , l’appli #monpilotageelec bug depuis hier, suis-je le seul dans ce cas ? Pas de bol , le premier jour où la température est négative.",07:34:34,156,2,Problèmes de facturation,90.0,True,Négatif
3,vince_thouvenin,thouvenin,2023-12-21 14:27:08+00:00,@ENGIEpartFR mon syndic de copropriété sergic en est à vous mettre en demeure car votre agence d'Amiens n'intervient pas malgré deux semaines de relances pour avoir DE L'EAU CHAUDE ! EN PLEIN HIVER C'EST SCANDALEUX  !,14:27:08,217,1,Problèmes de facturation,90.0,True,Négatif
4,BiduleAnatheme,Anathème Bidule,2023-12-28 21:32:58+00:00,"@ENGIEpartSAV vous envisagez de vous occuper de l'agence fantôme du secteur Grand Marseille un jour, ou on va au tribunal ?\nEt non, je n'enverrai pas un énième mail que vous ne traiterez pas. Vous avez une mise en demeure à traiter. Et un signalement à la @dgccrf.",21:32:58,265,1,Problèmes de facturation,90.0,True,Négatif
5,dionombo,Zawarudo 😈,2023-12-29 11:13:42+00:00,@ENGIEpartFR Merci pour l'annulation d'entretien de dernière minute. Ça me met bien dans la merde... Quand au service client: ils ne comprennent rien. Je retiens la leçon....,11:13:42,174,2,Service client injoignable,90.0,False,Négatif
6,hawaien88,hawaien88,2023-12-29 12:16:46+00:00,Je m’explique mal où c’est les personnes du chat qui ne comprennent rien ?\nC’est lunaire comme échange depuis hier !!! @ENGIEpartFR faites quelques choses !!! 1/9 https://t.co/wQoEEFycvo,12:16:46,187,2,Problèmes de facturation,90.0,True,Négatif
7,Petit20850206,Petit,2023-12-30 13:55:44+00:00,"@ENGIEpartFR Bonjour, J'ai reçu un courrier de votre part le 29/12/2023 qui m'ordonne d'installer un compteur numérique avant le 01/01/2024, c'est scandaleux !! comment voulez vous que je fasse installer ce compteur en moins de trois jours durant les fêtes de fin d'année ?",13:55:44,273,0,Problèmes de facturation,90.0,True,Négatif
8,Jules_brdn,🇷🇸 Ajde Ana! 🇷🇸,2024-01-01 12:45:32+00:00,"@ENGIEpartSAV urgent !! Une honte mon abonnement est passé à 0,32 du kwh ?!?? Merci de me répondre urgemment ! Alors que j’avais un contrat de 2 ans à 0,10 je viens de m’apercevoir aujourd’hui que la facture a triple !!",12:45:32,219,0,Problèmes de facturation,90.0,True,Négatif
9,fhureau,François Hureau 🐦,2024-01-01 16:59:03+00:00,"Bonjour @ENGIEpartSAV, Alors que le prix repère moyen de vente du gaz publié par la @CRE_energie  est passé de 0,10406€ à 0,09990€/KwH entre décembre et janvier, le prix de l'offre tranquillité est passé de 0,09686€ à 0,10230€ ? Quelle est votre formule d'indexation ?",16:59:03,268,0,Problèmes de facturation,90.0,True,Négatif
10,AmirRamires,Ramirez,2024-01-02 10:24:08+00:00,@enedis @ENGIEgroup @ENGIEpartFR @enedis_clients @enedis_paris pour vous c’est normal de laisser des familles sans électricité ?\nPlus de 1 semaines pour obtenir un rdv avec un tech pour mettre en service l’électricité \nEn plein mois de janvier ou les températures sont basses !,10:24:08,279,2,Service client injoignable,90.0,False,Négatif
11,AnneCremer2,Anne Cremer,2024-01-03 09:19:30+00:00,"@ENGIEpartFR : j'essaie de vous joindre depuis 48 h, impossible. J'ai envoyé un mail le 28.12, pas de réponse non plus. Je veux adapter le montant de mon forfait : impossible sur votre site.",09:19:30,190,2,Problèmes de facturation,90.0,True,Négatif
12,Eurpbo2016,Pbo,2024-01-03 14:40:58+00:00,@ENGIEpartFR bonjour mon épouse n’a plus accès à son compte particulier pour consulter ses factures.\nComment faire ?\nMerci,14:40:58,124,0,,,,
13,bbast____,Bastos en brr,2024-01-04 12:31:53+00:00,N’ayant pas Twitter je passe par le compte d’un proche pour solliciter @ENGIEpartFR qui me prélève et réclame des sommes aléatoires et faramineuses sans me prévenir en amont et sans jamais pouvoir les justifier. Comment débloquer cette situation qui me pèse depuis des mois ?,12:31:53,275,3,Problèmes de facturation,90.0,True,Négatif
14,chiquitamala,marga,2024-01-04 13:34:11+00:00,"@ENGIEpartSAV @ENGIEpartFR sommes arrivés à 624.32,  je vous souhaite une bonne journée et compte sur moi pour commencer une guerre médiatique. Merci encore pour votre attention.",13:34:11,178,0,Pannes et urgences,100.0,True,Négatif
15,WhoCares188,ÇA GIIIIIIVE🫦,2024-01-05 07:55:39+00:00,"Comme les afficher c’est ce qui marche, @ENGIEpartSAV @ENGIEpartFR, vous deviez me rembourser dans un délai de 15j max selon vos dires, ça va faire 2 mois que j’attends mes sous!!!",07:55:39,180,1,Délai d’intervention,95.0,True,Négatif
16,OPredhomme,Olivier Predhomme,2024-01-05 09:52:06+00:00,.@ENGIEpartFR déjà une semaine et demi sans nouvelle de votre part. Plus d’eau chaude. Plus de chauffage. On fait comment pour avoir une réponse??? C’est quoi ce service client??? @ENGIEgroup,09:52:06,191,2,Service client injoignable,90.0,False,Négatif
17,AykCtk,PoAyko,2024-01-06 15:07:35+00:00,"@ENGIEpartFR Bonjour,\nJe vous ai envoyé un DM la semaine passée, sans aucune réponse de votre part. Pourriez-vous avoir l'amabilité de porter un intérêt à mes questions sur des factures qui s'élèvent à 280€ pour le mois de novembre ? App. de 67m2 entièrement refait à neuf",15:07:35,273,1,Problèmes de facturation,90.0,True,Négatif
18,Bonheur151,Bonheur15,2024-01-06 21:15:38+00:00,"@BrunoLeMaire  deux questions: « moi , mes parents et grands parents ont payé les centrales nucléaires pourquoi ce prix de l’électricité ? »@ENGIEgroup augmenter l’abonnement de 35% c’est à cause de la guerre en Ukraine ou vs vs gavez bande de voleurs … J’attends vos retours ! https://t.co/iMj6ybI3lb",21:15:38,301,0,Problèmes de facturation,90.0,True,Négatif
19,blacklicorne2,Blacklicorne,2024-01-08 19:05:22+00:00,@ENGIEpartSAV #monpilotageelec Bonsoir. L appli ne fonctionne pas ce soir: testé sur plusieurs téléphones. Dès qu il fait froid on dirait que les serveurs plantent.,19:05:22,164,2,,,,
20,Deer174229,Bridget Jones^^🧡(Journalisme)🇫🇷🇪🇺🇺🇦,2024-01-08 19:18:30+00:00,"C'est quand même curieux @ENGIEpartFR \n, chaque fois qu'il y a une vague de températures négatives, l'application mon pilotage élec est en rade. Ça fait 3 fois depuis le début de l'hiver. Le pire c'est qu'on te dit que tu n'es pas connecté à internet. Je suis en 5ghz 😂 https://t.co/ZmiPfyVIlV",19:18:30,294,3,Problèmes de facturation,90.0,True,Négatif
21,CloBusnel,Chloé Marchand,2024-01-08 21:20:58+00:00,"Merci @ENGIEpartFR pour son appli de réglage de chauffage connecté qui ne fonctionne pas, encore, durant cette vague de froid avec 2 enfants en bas âge !!!!",21:20:58,156,1,Problèmes avec l’application,80.0,False,Négatif
22,mecquiraletrop,Mec qui râle trop φ🏟️⚽️🏈⏚,2024-01-08 22:50:52+00:00,@ENGIEpartFR 4h que je peux rien faire avec votre appli et qu’il fait -4 dehors.\nDeuxième fois alors que je suis chez vous depuis 3 semaines. Va falloir m’expliquer là https://t.co/YQOshqtmx3,22:50:52,192,3,Problèmes avec l’application,80.0,False,Négatif
